[2023.09.07 13:33:58 - error] [parser] Parser module E:/wondertrader/src/QuoteFactory/parsers/ParserInsight.dll loading failed
[2023.09.07 13:35:20 - info ] [parser] Parser module ParserInsight.dll loaded
[2023.09.07 13:35:25 - info ] [ParserInsight] MDCTest2859 login success
[2023.09.07 13:35:25 - info ] [ParserInsight] Connecting to [112.4.154.165] successed: 0, begin to subscibe data ...
[2023.09.07 13:35:25 - info ] [DoSubscribeMD] Subscribe 695 stocks from SSE
[2023.09.07 13:35:25 - info ] [DoSubscribeMD] Subscribe 816 stocks from SZSE
[2023.09.07 13:35:25 - debug] processing transaction data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002616.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300486.SZ
[2023.09.07 13:35:25 - debug] code: 300438, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 110074.SH
[2023.09.07 13:35:25 - debug] processing order data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300416.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113594.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 123167.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 110074.SH
[2023.09.07 13:35:25 - debug] processing order data of 118021.SH
[2023.09.07 13:35:25 - debug] code: 300473, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 110079.SH
[2023.09.07 13:35:25 - debug] code: 600518, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 123050.SZ
[2023.09.07 13:35:25 - debug] processing order data of 118021.SH
[2023.09.07 13:35:25 - debug] processing order data of 113057.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 110079.SH
[2023.09.07 13:35:25 - debug] processing order data of 113043.SH
