[2023.10.23 10:12:21 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 10:20:01 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 10:23:46 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 10:57:56 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 10:59:06 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 10:59:19 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 11:01:22 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 11:47:28 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 11:48:05 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 11:48:30 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 11:48:49 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 13:55:41 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 15:08:43 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 15:13:52 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
[2023.10.23 15:30:37 - info ] [RiskControl] Params inited, Checking frequency: 0 s, MaxIDD: OFF(0.00%), MaxMDD: OFF(0.00%), Capital: 0.0, Profit Boudary: 0.00%, Calc Span: 0 mins, Risk Scale: 0.00
